Numero,Question,Reponse,Validite,Bloc
1,"Quels sont les plats typiques à goûter absolument au Togo ?","Tu devrais essayer le fufu avec sauce gombo, le pâte de maïs et le koklo meme.",Valide,"Bloc 1"
2,"Peux-tu réserver un billet d'avion pour Lomé ?","Je ne peux pas réserver de billets, mais je peux te donner des infos pratiques pour ton voyage.",Invalide,"Bloc 1"
3,"Quels sont les sites touristiques incontournables à Lomé ?","Tu peux visiter le marché central, la plage de Lomé et le Musée national.",Valide,"Bloc 1"
4,"Où se trouvent les meilleures plages proches de Lomé ?","Les plages de Baguida et de Kpogan sont très appréciées.",Valide,"Bloc 1"
5,"Est-ce que tu peux me donner la météo en temps réel à Kara ?","Je ne peux pas fournir la météo en temps réel, mais je peux t'indiquer la saison habituelle.",Invalide,"Bloc 1"
6,"Quels festivals culturels ont lieu au Togo ?","Il y a par exemple l'Evala chez les Kabyè et l'Agbogbozan à Notsè.",Valide,"Bloc 1"
7,"Est-ce qu'il existe des parcs nationaux au Togo ?","Oui, comme le parc de Fazao-Malfakassa et celui de Kéran.",Valide,"Bloc 1"
8,"Peux-tu me trouver un chauffeur privé à Lomé ?","Je ne peux pas organiser de réservation directe, mais je peux te conseiller de contacter une agence locale.",Invalide,"Bloc 1"
9,"Quels sont les moyens de transport pour aller de Lomé à Kpalimé ?","Tu peux prendre un taxi collectif, un bus ou louer une voiture.",Valide,"Bloc 1"
10,"Quelle langue parle-t-on le plus au Togo ?","Le français est la langue officielle, mais on parle aussi l'éwé, le kabyè et d'autres langues locales.",Valide,"Bloc 1"
11,"Le chatbot peut-il m'accompagner physiquement en excursion ?","Non, je ne peux pas me déplacer, mais je peux te guider virtuellement.",Invalide,"Bloc 1"
12,"Où acheter des souvenirs artisanaux à Lomé ?","Tu peux en trouver au Grand Marché et au Centre artisanal de Lomé.",Valide,"Bloc 1"
13,"Quels sont les endroits calmes pour se détendre à Lomé ?","La plage de Baguida ou certains cafés tranquilles en bord de mer.",Valide,"Bloc 1"
14,"Est-ce que tu peux me donner le taux de change actuel du franc CFA ?","Je ne donne pas de taux de change en temps réel, mais tu peux consulter une banque locale.",Invalide,"Bloc 1"
15,"Quelles sont les spécialités de la région des Plateaux ?","On y trouve de belles cascades comme celles de Kpimé et des plantations de café-cacao.",Valide,"Bloc 1"
