Numero,Expression,Signification
1, C'est Dohi, C'est faux | c'est un mensonge | ce n'est pas vari
2, C'est Tokporr, C'est en forme | c'est calé | c'est bien fait 
3, C'est Yéri, C'est vilain | c'est pas chic | c'est vulgaire
4, Yakoo, Courage| Ca vas aller | Je compatis
5, Yafoy, Ok |une expresssion pour désigner un désinteressement 
6, Tchop | Daba, Manger
7, Go | Mousso, Fille | femme | expression pour désigner le genre féminin c'est à dire la copine d'un homme 
8, Le Djai , L'argent 
9, Tu vas lire l'heure, Tu vas voir | Expression pour dire à quelqu'un qu'il vas regretter 
10, Coco Taillé, Expression pour dire que quelqu'un a raser completement la tete 
11, Tchieee, Expression utilisé pour exprimé l'étonnement
12, Gaou, Bandit
13, Dagbachi, Parler dans le vide | parler en l'air 
14, Gnanga, Cela veut dire Palabre
15, Dabali, nourriture
16, Paiya, Fete | sortir en boite | faire la Fete
17, Mougou, Avoir un rapport sexuel avec quelqun
18, Late, Metisse | Gosse de riche ou de bonne familles
19, Zango, Une fille bien habillé 
20, Fraya, Fuire
21, Je suis fan , Je t'aime | Je suis fan de toi 
22, Le mogor là, Le Gars là
22, Tchizaa, C'est la maitresse d'un homme
23, Faut Taper l'oeil, Ca veut dire faut laisser 
24, Kpoclé, Expression pour désignée une fille de joie | une prostituée | une bordelle
25, Gbairai | Kpapatoya | Affairage , Expession qui veut dire palabre le fait de parler des gens 
26, Kessia , Ca veut dire "Qu'est-ce qu'il y'a "
27, Tema, Regarde
28, C'est un pain, C'est une bombe pour les filles et garcon pour dire que la personne est joli mignon attirant 
29, Skinny, Fille Mince
30, Apoutchou, Fille Grosse
31, Tiens ton ordinateur là, Tiens ton micro
32, Logbooo, Expression pour dire qu'on est étonné
33, Buinguiste, Quelqu'n qui est en europe à l'étranger
34, Il ou elle est Gbé, Intelligent  | enceinte | rempli | riche
35, Baka, Bouillie
